9,4,Work Bus,7.8,"1,036",1,,,,
9,5,Here Comes Treble,7.1,"1,007",1,,,,
9,6,The Boat,7.8,940,1,,,,
9,7,The Whale,7.7,918,1,,,,
9,8,The Target,7.8,930,1,,,,
9,9,Dwight Christmas,8.3,"1,064",1,,,,
9,10,Lice,7.7,966,1,,,,
9,11,Suit Warehouse,8,948,1,,,,
9,12,Customer Loyalty,8.1,"1,004",1,,,,
9,13,Junior Salesman,7.7,917,1,,,,
9,14,Vandalism,7.7,927,1,,,,
9,15,Couples Discount,7.5,934,1,,,,
9,16,Moving On,8.3,"1,055",1,,,,
9,17,The Farm,7.5,"1,078",1,,,,
9,18,Promos,8,950,1,,,,
9,19,Stairmageddon,8,955,1,,,,
9,20,Paper Airplane,8,959,1,,,,
9,21,Livin' the Dream,8.8,"1,311",1,,,,
9,22,A.A.R.M.,9.2,"1,854",2,,,,
9,23,Finale,9.7,"5,273",2,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
